Borough,borough_id,borough_cd_id,CD Name,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population
Bronx,2.00 ,201.00 ,"Melrose, Mott Haven, Port Morris",138557.00 ,78441.00 ,77214.00 ,82159.00 ,91497.00 
Bronx,2.00 ,202.00 ,"Hunts Point, Longwood",99493.00 ,34399.00 ,39443.00 ,46824.00 ,52246.00 
Bronx,2.00 ,203.00 ,"Morrisania, Crotona Park East",150636.00 ,53635.00 ,57162.00 ,68574.00 ,79762.00 
Bronx,2.00 ,204.00 ,"Highbridge, Concourse Village",144207.00 ,114312.00 ,119962.00 ,139563.00 ,146441.00 
Bronx,2.00 ,205.00 ,"University Hts., Fordham, Mt. Hope",121807.00 ,107995.00 ,118435.00 ,128313.00 ,128200.00 
Bronx,2.00 ,206.00 ,"East Tremont, Belmont",114137.00 ,65016.00 ,68061.00 ,75688.00 ,83268.00 
Bronx,2.00 ,207.00 ,"Bedford Park, Norwood, Fordham",113764.00 ,116827.00 ,128588.00 ,141411.00 ,139286.00 
Bronx,2.00 ,208.00 ,"Riverdale, Kingsbridge, Marble Hill",103543.00 ,98275.00 ,97030.00 ,101332.00 ,101731.00 
Bronx,2.00 ,209.00 ,"Soundview, Parkchester",166442.00 ,167627.00 ,155970.00 ,167859.00 ,172298.00 
Bronx,2.00 ,210.00 ,"Throgs Nk., Co-op City, Pelham Bay",84948.00 ,106516.00 ,108093.00 ,115948.00 ,120392.00 
Bronx,2.00 ,211.00 ,"Pelham Pkwy, Morris Park, Laconia",105980.00 ,99080.00 ,97842.00 ,110706.00 ,113232.00 
Bronx,2.00 ,212.00 ,"Wakefield, Williamsbridge",135010.00 ,128226.00 ,129620.00 ,149077.00 ,152344.00 
Brooklyn,3.00 ,301.00 ,"Williamsburg, Greenpoint",179390.00 ,142942.00 ,155972.00 ,160338.00 ,173083.00 
Brooklyn,3.00 ,302.00 ,"Brooklyn Heights, Fort Greene",110221.00 ,92732.00 ,94534.00 ,98620.00 ,99617.00 
Brooklyn,3.00 ,303.00 ,Bedford Stuyvesant,203380.00 ,133379.00 ,138696.00 ,143867.00 ,152985.00 
Brooklyn,3.00 ,304.00 ,Bushwick,137902.00 ,92497.00 ,102572.00 ,104358.00 ,112634.00 
Brooklyn,3.00 ,305.00 ,"East New York, Starrett City",170791.00 ,154931.00 ,161350.00 ,173198.00 ,182896.00 
Brooklyn,3.00 ,306.00 ,"Park Slope, Carroll Gardens",138933.00 ,110228.00 ,102724.00 ,104054.00 ,104709.00 
Brooklyn,3.00 ,307.00 ,"Sunset Park, Windsor Terrace",111607.00 ,98567.00 ,102553.00 ,120063.00 ,126230.00 
Brooklyn,3.00 ,308.00 ,Crown Heights North,121821.00 ,88796.00 ,96400.00 ,96076.00 ,96317.00 
Brooklyn,3.00 ,309.00 ,"Crown Heights South, Wingate",101047.00 ,96669.00 ,110715.00 ,104014.00 ,98429.00 
Brooklyn,3.00 ,310.00 ,"Bay Ridge, Dyker Heights",129822.00 ,118187.00 ,110612.00 ,122542.00 ,124491.00 
Brooklyn,3.00 ,311.00 ,"Bensonhurst, Bath Beach ",170119.00 ,155072.00 ,149994.00 ,172129.00 ,181981.00 
Brooklyn,3.00 ,312.00 ,"Borough Park, Ocean Parkway",166301.00 ,155899.00 ,160018.00 ,185046.00 ,191382.00 
Brooklyn,3.00 ,313.00 ,"Coney Island, Brighton Beach",97750.00 ,100030.00 ,102596.00 ,106120.00 ,104278.00 
Brooklyn,3.00 ,314.00 ,"Flatbush, Midwood",137041.00 ,143859.00 ,159825.00 ,168806.00 ,160664.00 
Brooklyn,3.00 ,315.00 ,"Sheepshead Bay, Gerritsen Beach",164815.00 ,149572.00 ,143477.00 ,160319.00 ,159650.00 
Brooklyn,3.00 ,316.00 ,"Brownsville, Ocean Hill",122589.00 ,73801.00 ,84923.00 ,85343.00 ,86468.00 
Brooklyn,3.00 ,317.00 ,"East Flatbush, Rugby, Farragut",149496.00 ,154596.00 ,161261.00 ,165753.00 ,155252.00 
Brooklyn,3.00 ,318.00 ,"Canarsie, Flatlands",188643.00 ,169092.00 ,162428.00 ,194653.00 ,193543.00 
Manhattan,1.00 ,101.00 ,"Battery Park City, Tribeca",7706.00 ,15918.00 ,25366.00 ,34420.00 ,60978.00 
Manhattan,1.00 ,102.00 ,"Greenwich Village, Soho",84337.00 ,87069.00 ,94105.00 ,93119.00 ,90016.00 
Manhattan,1.00 ,103.00 ,"Lower East Side, Chinatown",181845.00 ,154848.00 ,161617.00 ,164407.00 ,163277.00 
Manhattan,1.00 ,104.00 ,"Chelsea, Clinton",83601.00 ,82164.00 ,84431.00 ,87479.00 ,103245.00 
Manhattan,1.00 ,105.00 ,Midtown Business District,31076.00 ,39544.00 ,43507.00 ,44028.00 ,51673.00 
Manhattan,1.00 ,106.00 ,"Stuyvesant Town, Turtle Bay",122465.00 ,127554.00 ,133748.00 ,136152.00 ,142745.00 
Manhattan,1.00 ,107.00 ,"West Side, Upper West Side",212422.00 ,206669.00 ,210993.00 ,207699.00 ,209084.00 
Manhattan,1.00 ,108.00 ,Upper East Side,200851.00 ,204305.00 ,210880.00 ,217063.00 ,219920.00 
Manhattan,1.00 ,109.00 ,"Manhattanville, Hamilton Heights",113606.00 ,103038.00 ,106978.00 ,111724.00 ,110193.00 
Manhattan,1.00 ,110.00 ,Central Harlem,159267.00 ,105641.00 ,99519.00 ,107109.00 ,115723.00 
Manhattan,1.00 ,111.00 ,East Harlem,154662.00 ,114569.00 ,110508.00 ,117743.00 ,120511.00 
Manhattan,1.00 ,112.00 ,"Washington Heights, Inwood",180561.00 ,179941.00 ,198192.00 ,208414.00 ,190020.00 
Queens,4.00 ,401.00 ,"Astoria, Long Island City",185925.00 ,185198.00 ,188549.00 ,211220.00 ,191105.00 
Queens,4.00 ,402.00 ,"Sunnyside, Woodside",95073.00 ,88927.00 ,94845.00 ,109920.00 ,113200.00 
Queens,4.00 ,403.00 ,"Jackson Heights, North Corona",123635.00 ,122090.00 ,128924.00 ,169083.00 ,171576.00 
Queens,4.00 ,404.00 ,"Elmhurst, South Corona",108233.00 ,118430.00 ,137023.00 ,167005.00 ,172598.00 
Queens,4.00 ,405.00 ,"Ridgewood, Glendale, Maspeth",161022.00 ,150142.00 ,149126.00 ,165911.00 ,169190.00 
Queens,4.00 ,406.00 ,"Forest Hills, Rego Park",120429.00 ,112245.00 ,106996.00 ,115967.00 ,113257.00 
Queens,4.00 ,407.00 ,"Flushing, Bay Terrace",207589.00 ,204785.00 ,220508.00 ,242952.00 ,247354.00 
Queens,4.00 ,408.00 ,"Fresh Meadows, Briarwood",142468.00 ,125312.00 ,132101.00 ,146594.00 ,151107.00 
Queens,4.00 ,409.00 ,"Woodhaven, Richmond Hill",110367.00 ,109505.00 ,112151.00 ,141608.00 ,143317.00 
Queens,4.00 ,410.00 ,"Ozone Park, Howard Beach",113857.00 ,105651.00 ,107768.00 ,127274.00 ,122396.00 
Queens,4.00 ,411.00 ,"Bayside, Douglaston, Little Neck",127883.00 ,110963.00 ,108056.00 ,116404.00 ,116431.00 
Queens,4.00 ,412.00 ,"Jamaica, St. Albans, Hollis",206639.00 ,189383.00 ,201293.00 ,223602.00 ,225919.00 
Queens,4.00 ,413.00 ,"Queens Village, Rosedale",184647.00 ,173178.00 ,177535.00 ,196284.00 ,188593.00 
Queens,4.00 ,414.00 ,"The Rockaways, Broad Channel",98228.00 ,100592.00 ,100596.00 ,106686.00 ,114978.00 
Staten Island,5.00 ,501.00 ,"Stapleton, Port Richmond",135875.00 ,138489.00 ,137806.00 ,162609.00 ,175756.00 
Staten Island,5.00 ,502.00 ,"New Springville, South Beach",85985.00 ,105128.00 ,113944.00 ,127071.00 ,132003.00 
Staten Island,5.00 ,503.00 ,"Tottenville, Woodrow, Great Kills",72815.00 ,108249.00 ,126956.00 ,152908.00 ,160209.00 
