the_geom,ID,SERVICE,DIVISIONNA,ADDRESS,ZIPCODE,PHONENUMBE,SERVICESOF,URL,CITY
POINT (-73.99338310640853 40.74862808090852),1,Crises,"Safe Horizon, Inc",214 West 30th Street,10027,(212) 268-3943,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York
POINT (-73.98926242678021 40.76543659340834),2,Crises,Covenant House,"427 West 52nd Street,",10019,(212) 613-0300 ext. 0532,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York
POINT (-73.99557687133783 40.75854146537268),3,Crises,Covenant House,460 West 41st Street,10036,(212) 613-0300 ext. 0531,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York
POINT (-73.9593103103567 40.69090313048385),4,Crises,Ali Forney Center,241 Taffee Place,11205,(212) 206-0574,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn
POINT (-74.0093510486368 40.65202799350939),5,Crises,The Turning Point Sunset Terrace,319-321 42nd Street,11220,(718) 640-1560 ext. 9025,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn
POINT (-73.99542364366205 40.66053403970373),6,Crises,Ali Forney Center,216 23rd Street,11232,(212) 206-0574,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn
POINT (-74.01450042310613 40.645102977591485),7,Crises,The Turning Point,5220 Fourth Avenue,11220,(718) 439-0077,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn
POINT (-73.92017897369153 40.81698294716547),8,Drop in,Cardinal McCloskey,333 East 149th Street,10451,(718) 993-5495,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Bronx
POINT (-74.0051692831716 40.72412129376002),9,Drop in,The Door,121 6th Avenue,10013,(212) 453-0248,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York
POINT (-74.13440427740537 40.635744440562384),10,Drop in,Project Hospitality,1546 Castleton Avenue,10302,(877) 994-6736,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Staten Island
POINT (-73.96509134546051 40.70832272876161),11,Drop in,SCO Family of Services,89 South 10th Street,11221,(718) 384-7083,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn
POINT (-73.91562948297278 40.81491018917466),13,Drop in,Bronx Community Pride Center,448 East 149th Street,10455,(718) 292-4368,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Bronx
POINT (-73.94858861436468 40.809390746635856),14,Drop in,"Safe Horizon, Inc",209 West 125th Street,10027,(212) 695-2220,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York
